,Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],ε [%],y [%],y* [%]
0,COMP,894.1523193514727,768.3331898248363,125.81912952663644,0.0,85.92866933254808,7.7479293372411355,11.054293168225827
2,COND,575.396589105666,483.9145216762216,91.48206742944429,0.0,84.10104106254191,5.633456508042427,8.03748680192856
3,EVA,648.8576330222378,1.7961954663142998,647.0614375559235,0.0,0.27682427930268955,39.84597822206048,56.8499150765667
1,FAN,705.4128114125915,600.5572491464336,104.85556226615795,0.0,85.13557443673523,6.456994974543107,9.212463398611261
4,MOT1,716.1551384899406,705.4128114125915,10.742327077349065,0.0,98.50000000000001,0.661511420608043,0.9438058685412177
5,MOT2,907.6864966390132,894.0711991894281,13.615297449585167,0.0,98.5,0.8384286470728806,1.19622103686903
6,MOT3,0.06488298905775812,0.06390974422189175,0.0009732448358663746,0.0,98.5,5.993231907180802e-05,8.550793333736348e-05
7,PUMP,0.06390974422189175,0.05336273981705745,0.010547004404834304,0.0,83.49703236455527,0.0006494834700865361,0.0009266450910624447
8,VAL,176.51774188559133,31.91263990778419,144.60510197780715,0.0,18.078998500030742,8.904767630675801,12.70480249623299
TOT,TOT,1623.9065181180115,483.91787911955305,1138.1924435321444,1.7961954663142998,29.799614307871508,70.08977615603304,99.99999999999999
